Title,Subtitle,Price,Location
"Sunny Groves by Cynosure Homez
NEW BOOKING","2, 3, 4 BHK Apartment in Sarjapur Road, Bangalore","2 BHK Apartment
₹98 L
3 BHK Apartment
₹1.19 - 1.49 Cr
4 BHK Apartment
₹2.93 Cr","Nearby :
Oakridge International School
Azim Premji University
+3"
"Villa Bellissimo
NEW BOOKING","4 BHK Villa in Electronic City, Bangalore","4 BHK Villa
₹4 - 5.4 Cr",NA
"SSVR Niyaara
NEW BOOKING","2, 3 BHK Apartment in Varthur, Bangalore","2 BHK Apartment
₹1.11 - 1.16 Cr
3 BHK Apartment
₹1.32 - 1.53 Cr","Nearby :
Whitefield Global School
St. Mother Theresa University
+3"
"SJ Park Ville
NEW BOOKING","4 BHK Villa in Whitefield, Bangalore","4 BHK Villa
₹2.99 - 3.24 Cr","Nearby :
Pratham International School
Euro School
+3"
"MSR Passion Square
NEW BOOKING","2, 3 BHK Apartment in Sarjapur Road, Bangalore","2 BHK Apartment
₹1.1 - 1.37 Cr
3 BHK Apartment
₹1.32 - 1.56 Cr","Nearby :
Primus Public School
Amrita Vishwa Vidyapeetam
+3"
"Satyam Varad
NEW BOOKING","2, 3 BHK Apartment in Kammasandra, Electronic City","2 BHK Apartment
₹73.66 - 93.51 L
3 BHK Apartment
₹1.09 Cr","Nearby :
National Highway 44
National Public School
+3"
"Casagrand Estancia
NEW BOOKING","3, 4 BHK Apartment in Kogilu, Near Yelahanka, Bangalore","3 BHK Apartment
₹1.48 - 1.75 Cr
4 BHK Apartment
₹2.14 - 2.23 Cr","Nearby :
Hayagreeva Public School
REVA University
+3"
"Concorde Mayfair
NEW BOOKING","3 BHK Apartment in Yelahanka, Bangalore","3 BHK Apartment
₹1.99 - 2.28 Cr","Nearby :
Sparsh Hospital Yelahanka
The Galleria Mall
+3"
"CasaLife by Bhavisha Homes
NEW BOOKING","4 BHK Villa in Sarjapur Road, Bangalore","4 BHK Villa
₹2.25 - 3.28 Cr","Nearby :
The International School Bangalore
Azim Premji University
+3"
"Assetz Mizumi Reserve
NEW BOOKING","3, 4 BHK Apartment in HSR Layout, Bangalore","3 BHK Apartment
₹2.47 - 2.82 Cr
4 BHK Apartment
₹3.22 Cr","Nearby :
Vibgyor High School
Manipal Hospital Sarjapur Road
+3"
"Concorde Eleve
NEW BOOKING","3, 4 BHK Apartment in KR Puram, Bangalore","3 BHK Apartment
₹2.22 - 2.25 Cr
4 BHK Apartment
₹2.94 - 2.96 Cr","Nearby :
James English School
Geetha Hospital
+3"
"Amrutha Platinum Towers
3.8
NEW BOOKING","2, 3 BHK Apartment in Whitefield, Bangalore","2 BHK Apartment
₹1.11 - 1.51 Cr
3 BHK Apartment
₹1.4 - 1.81 Cr","Nearby :
The Bangalore School
Svastha Hospital
+3"
"Yash Dream Scape
NEW BOOKING","4 BHK Villa in Sarjapur Road, Bangalore","4 BHK Villa
₹2.27 - 2.68 Cr",NA
"M1 Terra Alegria
NEW BOOKING","4 BHK Villa in Hoskote, Bangalore","4 BHK Villa
₹2.69 - 3.25 Cr","Nearby :
Sun Valley Public School
Siliconcity Hospital
+3"
"Signature Heights
NEW BOOKING","2, 3 BHK Apartment in Electronic City, Bangalore","2 BHK Apartment
₹96.31 L - 1 Cr
3 BHK Apartment
₹1.18 - 1.44 Cr","Nearby :
MEGA International School
Best Hospital
+3"
"Assetz Melodies of Life Apartments
NEW BOOKING","3 BHK Apartment in Hosa Road, Bangalore","3 BHK Apartment
₹2.38 - 2.41 Cr","Nearby :
Notre Dame Academy
PES University Electronic City
+3"
"Assetz Trees and Tandem
NEW BOOKING","3 BHK Apartment in Sarjapur Road, Bangalore","3 BHK Apartment
₹2.02 - 2.35 Cr","Nearby :
GIG International School
Discovate studios Amsuement Park
+3"
"Raj High Gardens
NEW BOOKING","2, 3 BHK Apartment in Chandapura, Bangalore","2 BHK Apartment
₹81.6 L - 1.08 Cr
3 BHK Apartment
₹1.05 - 1.6 Cr","Nearby :
Infosys
Tech Mahindra
+3"
"ARS Zurich Phase 2
NEW BOOKING","2, 3 BHK Apartment in Sarjapur Road, Bangalore","2 BHK Apartment
₹92 L
3 BHK Apartment
₹1.25 - 1.67 Cr","Nearby :
Spandana Heart & Super Sp Hospital
Natura Walk
+3"
"Aryas Avadana
NEW BOOKING","2, 3 BHK Apartment in Hoskote, Bangalore","2 BHK Apartment
₹73.69 - 83.74 L
3 BHK Apartment
₹1.07 - 1.13 Cr","Nearby :
Caldwell Academy ICSE School
MVJ Medical College
+3"
"Ramky Lumina
NEW BOOKING","1, 2, 3 BHK Apartment in Hosa Road, Bangalore","1 BHK Apartment
₹81 L - 1.3 Cr
2 BHK Apartment
₹1.34 - 1.65 Cr
3 BHK Apartment
₹1.68 - 1.94 Cr","Nearby :
PES University
Sorsfort International School
+3"
"Melange One
NEW BOOKING","3, 4 BHK Apartment in Rajarajeshwari Nagar, Bangalore","3 BHK Apartment
₹3.39 - 3.41 Cr
4 BHK Apartment
₹4.89 - 5.08 Cr",NA
"VSR Tranquil
NEW BOOKING","2, 3, 4 BHK Apartment in Horamavu, Bangalore","2 BHK Apartment
₹1.21 - 1.42 Cr
3 BHK Apartment
₹1.54 - 1.94 Cr
4 BHK Apartment
₹2.9 Cr","Nearby :
Koshys Multispeciality Hospital
Horamavu Agara Road
+3"
"Mythri Street
NEW BOOKING","2, 3 BHK Apartment in Sarjapur Road, Bangalore","2 BHK Apartment
₹1.05 - 1.07 Cr
3 BHK Apartment
₹1.26 - 1.54 Cr","Nearby :
Sarjapur Road
Peripheral Ring Road
+3"
